Date,AAPL,GOOGL,META,MSFT,NVDA
2023-01-03,123.47061920166016,88.58870697021484,124.05940246582031,234.8089599609375,14.302287101745605
2023-01-04,124.7441177368164,87.55490112304688,126.67505645751953,224.5376739501953,14.73590087890625
2023-01-05,123.42125701904297,85.68611145019531,126.24739837646484,217.88287353515625,14.252330780029297
2023-01-06,127.96240997314453,86.81932067871094,129.31060791015625,220.45068359375,14.845804214477539
2023-01-09,128.48565673828125,87.49525451660156,128.7635955810547,222.59707641601562,15.614118576049805
2023-01-10,129.05824279785156,87.89287567138672,132.264404296875,224.29261779785156,15.894871711730957
2023-01-11,131.78294372558594,90.97439575195312,132.16494750976562,231.07479858398438,15.986787796020508
2023-01-12,131.70394897460938,90.58671569824219,135.964111328125,233.76025390625,16.496335983276367
2023-01-13,133.0366973876953,91.5708236694336,136.23260498046875,234.46591186523438,16.88399314880371
2023-01-17,134.2016143798828,90.74576568603516,134.6214599609375,235.56361389160156,17.686279296875
2023-01-18,133.48094177246094,90.57678985595703,132.2942352294922,231.114013671875,17.3615665435791
2023-01-19,133.54019165039062,92.49527740478516,135.4071502685547,227.31129455566406,16.75011444091797
2023-01-20,136.10691833496094,97.43563842773438,138.6095733642578,235.4362030029297,17.823158264160156
2023-01-23,139.30551147460938,99.19509887695312,142.48831176757812,237.74923706054688,19.175954818725586
2023-01-24,140.7073516845703,97.1175537109375,142.3590087890625,237.21995544433594,19.247888565063477
2023-01-25,140.04588317871094,94.65234375,140.72796630859375,235.8184356689453,19.305837631225586
2023-01-26,142.1190643310547,96.9386215209961,146.49632263183594,243.061279296875,19.784412384033203
2023-01-27,144.06385803222656,98.77760314941406,150.91209411621094,243.21807861328125,20.346912384033203
2023-01-30,141.1713409423828,96.3620834350586,146.25762939453125,237.8766326904297,19.14497947692871
2023-01-31,142.44482421875,98.25074768066406,148.15719604492188,242.87506103515625,19.5196533203125
2023-02-01,143.57025146484375,99.8312759399414,152.2845458984375,247.71669006347656,20.92440414428711
2023-02-02,148.891357421875,107.09769439697266,187.74005126953125,259.33062744140625,21.689720153808594
2023-02-03,152.52427673339844,104.15534210205078,185.5122833251953,253.2051544189453,21.08125877380371
2023-02-06,149.78970336914062,102.28654479980469,185.04481506347656,251.6566162109375,21.070270538330078
2023-02-07,152.67234802246094,106.998291015625,190.57447814941406,262.2317199707031,22.15330696105957
2023-02-08,149.97727966308594,98.77760314941406,182.42916870117188,261.4183044433594,22.185279846191406
2023-02-09,148.940673828125,94.44359588623047,176.94923400878906,258.37017822265625,22.317161560058594
2023-02-10,149.30653381347656,94.00621795654297,173.19979858398438,257.8605651855469,21.246112823486328
2023-02-13,152.11448669433594,94.04597473144531,178.45101928710938,265.9168701171875,21.768651962280273
2023-02-14,151.4718017578125,94.11555480957031,178.50071716308594,266.7499084472656,22.950599670410156
2023-02-15,153.5777587890625,96.3620834350586,176.19338989257812,264.61785888671875,22.743783950805664
2023-02-16,151.97604370117188,94.94060516357422,171.4991455078125,257.572998046875,21.98246192932129
2023-02-17,150.8291473388672,93.78752136230469,171.93673706054688,253.55441284179688,21.36900520324707
2023-02-21,146.80508422851562,91.24278259277344,171.14111328125,248.25852966308594,20.636653900146484
2023-02-22,147.23019409179688,91.10362243652344,170.18634033203125,247.1187744140625,20.73556900024414
2023-02-23,147.71466064453125,90.34814453125,171.101318359375,250.32188415527344,23.64298439025879
2023-02-24,145.05502319335938,88.59864044189453,169.46034240722656,244.8687744140625,23.265317916870117
2023-02-27,146.2513885498047,89.33423614501953,168.61495971679688,245.7923583984375,23.480127334594727
2023-02-28,145.74710083007812,89.52310180664062,173.9855194091797,245.0652618408203,23.19538116455078
2023-03-01,143.6708221435547,89.8213119506836,172.47381591796875,241.9702911376953,22.67784309387207
2023-03-02,144.26405334472656,91.4515380859375,173.57772827148438,246.72576904296875,23.293292999267578
2023-03-03,149.3262939453125,93.0916976928711,184.23924255371094,250.832763671875,23.8687801361084
2023-03-06,152.0947265625,94.56287384033203,183.8911590576172,252.38519287109375,23.533082962036133
2023-03-07,149.88987731933594,93.30045318603516,183.5032958984375,249.7126922607422,23.271268844604492
2023-03-08,151.14552307128906,93.68811798095703,183.96080017089844,249.27053833007812,24.163625717163086
2023-03-09,148.89126586914062,91.7696304321289,180.69869995117188,247.91464233398438,23.419166564941406
2023-03-10,146.8248291015625,90.0896987915039,178.53057861328125,244.24978637695312,22.948505401611328
2023-03-13,148.77261352539062,90.56684112548828,179.91297912597656,249.48670959472656,22.949501037597656
2023-03-14,150.8686981201172,93.40978240966797,192.96141052246094,256.23675537109375,24.045711517333984
2023-03-15,151.26416015625,95.53703308105469,196.67103576660156,260.8055419921875,24.21059226989746
2023-03-16,154.0919189453125,99.72193145751953,203.81185913085938,271.37774658203125,25.522653579711914
2023-03-17,153.2515106201172,101.0141830444336,194.542724609375,274.55126953125,25.706518173217773
2023-03-20,155.6244354248047,100.61656188964844,196.73074340820312,267.47705078125,25.881389617919922
2023-03-21,157.48321533203125,104.29450988769531,201.0570068359375,268.99993896484375,26.18017578125
2023-03-22,156.049560546875,102.7537612915039,198.71978759765625,267.5359802246094,26.448986053466797
2023-03-23,157.13717651367188,104.97045135498047,203.16542053222656,272.8122253417969,27.171463012695312
2023-03-24,158.4423065185547,104.81141662597656,204.885986328125,275.6714172363281,26.759761810302734
2023-03-27,156.49452209472656,101.84917449951172,201.73329162597656,271.5545959472656,26.511940002441406
2023-03-28,155.87159729003906,100.42770385742188,199.58506774902344,270.4246826171875,26.391027450561523
